                   H::ARIRANG |                  hw:10485760 |    3 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 301434, 304607, 307751, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                  hw:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   4, max   4, sds 000) exs: 301437, 304613, 307757, mpv: [4.400e-03, 2.043e-03, 9.539e-04], [; ; ]
                   H::ARIRANG |                 hw:104857600 |    2 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 303003, 304604, 307748, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 hw:104857600 |    3 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 303006, 304610, 307754, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 hw:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   4, max   4, sds 000) exs: 303009, 304616, 307760, mpv: [6.200e-03, 1.809e-03, 4.720e-03], [; ; ]
                   H::ARIRANG |                hw:1048576000 |    2 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 337863, 337864, 337865, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                hw:1048576000 |    3 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 331421, 331422, 331423, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                hw:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   4, max   4, sds 000) exs: 321018, 321121, 321226, mpv: [7.849e-05, 4.500e-03, 1.800e-03], [; ; ]
                   H::ARIRANG |                 sac:10485760 |    2 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 301432, 304602, 307746, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 sac:10485760 |    3 | R (615/ 636 ~0.967; c R (212/ 212) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 301435, 304608, 307752, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                 sac:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   4, max   4, sds 000) exs: 301438, 304614, 307758, mpv: [2.800e-03, 4.012e-04, 1.986e-03], [; ; ]
                   H::ARIRANG |                sac:104857600 |    2 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 303004, 304605, 307749, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |                sac:104857600 |    3 | R (648/ 729 ~0.889; c R (243/ 243) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 303007, 304611, 307755, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
