                   B:S:Chacha |           sac.key:1048576000 |    3 | R ( 27/ 897 ~0.030; c R (  7/ 299) | hcr:   6, max  20, sm: 85.00 %, sds 111) exs: 331559, 331560, 331561, mpv: [2.843e-12, 7.501e-16, 1.181e-07]
                   B:S:Chacha |           sac.key:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 316087, 316088, 316089, mpv: [3.100e-04, 5.700e-06, 6.881e-05], [; 334; ]
                   B:S:Chacha |           sac.key:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:   6, max  20, sds 000) exs: 316099, 316100, 316101, mpv: [3.189e-04, 1.400e-03, 1.881e-05], [; ; ]
                   B:S:Chacha |           sac.key:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:   6, max  20, sds 000) exs: 336234, 336235, 336236, mpv: [1.500e-04, 1.488e-04, 1.543e-05], [; ; ]
                   B:S:Chacha |           sac.key:1048576000 |    7 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 379080, 379081, 379082, mpv: [2.800e-04, 8.633e-04, 1.361e-03], [; ; ]
                   B:S:Chacha |           sac.key:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 379083, 379084, 379085, mpv: [4.756e-05, 1.078e-03, 2.333e-03], [; ; ]
                   B:S:Chacha |                zero:10485760 |    1 | R (600/ 636 ~0.943; c R (210/ 212) | hcr:   6, max  20, sm: 95.00 %, sds 111) exs: 331565, 331566, 331567, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |                zero:10485760 |    2 | R (534/ 642 ~0.832; c R (188/ 214) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 331568, 331569, 331570, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |                zero:10485760 |    3 | R ( 38/ 642 ~0.059; c R ( 10/ 214) | hcr:   6, max  20, sm: 85.00 %, sds 011) exs: 331571, 331572, 331573, mpv: [1.050e-03, 2.039e-25, 6.168e-275]
                   B:S:Chacha |                zero:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 331574, 331575, 331576, mpv: [1.852e-03, 5.880e-04, 6.480e-04], [; ; ]
                   B:S:Chacha |                zero:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 331577, 331578, 331579, mpv: [5.152e-03, 1.100e-03, 2.334e-04], [; ; ]
                   B:S:Chacha |                zero:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 331580, 331581, 331582, mpv: [6.140e-05, 4.400e-03, 3.605e-04], [; ; ]
                   B:S:Chacha |                zero:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 379104, 379105, 379106, mpv: [2.960e-04, 1.030e-03, 1.700e-05], [; ; ]
                   B:S:Chacha |                zero:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 379107, 379108, 379109, mpv: [3.923e-03, 5.900e-04, 2.707e-03], [; ; ]
